Date,AAPL,GOOG,MSFT,DELL
1/2/2007,328.16,604.35,26.72,13.58
1/3/2007,329.87,602.12,26.83,13.58
1/4/2007,332.57,609.07,26.74,13.76
1/5/2007,332.3,613.5,27.53,14.15
1/6/2007,334.68,616.44,27.32,13.87
1/9/2007,340.99,614.21,26.95,13.9
1/10/2007,340.18,616.01,26.85,13.97
1/11/2007,342.95,616.87,27.27,14.27
1/12/2007,344.2,616.69,26.92,14.06
1/13/2007,346.99,624.18,27.03,13.94
1/17/2007,339.19,639.63,27.37,13.99
1/18/2007,337.39,631.75,27.19,13.67
1/19/2007,331.26,626.77,27.08,13.49
1/20/2007,325.32,611.83,26.76,13.36
1/23/2007,336.01,611.08,27.11,13.61
1/24/2007,339.94,619.91,27.17,13.63
1/25/2007,342.38,616.5,27.49,13.66
1/26/2007,341.74,616.79,27.57,13.33
1/27/2007,334.66,600.99,26.5,13.04
1/30/2007,337.87,600.36,26.49,13.05
1/31/2007,343.55,611.04,26.73,13.34
2/1/2007,342.85,612,26.69,13.61
2/2/2007,341.97,610.15,26.41,13.69
2/3/2007,345.02,610.98,26.52,13.78
2/6/2007,350.38,614.29,26.93,13.88
2/7/2007,353.68,618.38,27.01,13.76
2/8/2007,356.63,616.5,26.71,13.8
2/9/2007,353.02,616.44,26.27,13.74
2/10/2007,355.32,624.5,26.03,13.86
2/13/2007,357.64,628.15,26.01,13.98
2/14/2007,358.36,624.15,25.9,13.8
2/15/2007,361.58,624.22,25.96,15.44
2/16/2007,356.77,625.26,26.14,15.22
2/17/2007,349.06,630.08,26,15.31
2/21/2007,337.16,610.21,25.55,15.03
2/22/2007,341.16,611.32,25.55,14.99
2/23/2007,341.41,608.82,25.72,14.93
2/24/2007,346.67,610.04,25.51,15.01
2/27/2007,351.7,613.4,25.54,15.7
2/28/2007,347.82,600.76,25.13,15.28
3/1/2007,350.61,600.79,25.06,15.32
3/2/2007,358.02,609.56,25.17,15.6
3/3/2007,358.46,600.62,24.93,15.48
3/6/2007,353.84,591.66,24.71,15.27
3/7/2007,354.24,592.31,24.89,15.41
3/8/2007,350.96,591.77,24.87,15.31
3/9/2007,345.19,580.3,24.41,15.12
3/10/2007,350.49,576.71,24.67,15.16
3/13/2007,352.05,569.99,24.68,14.85
3/14/2007,343.95,569.56,24.39,14.58
3/15/2007,328.6,557.1,23.82,14.12
3/16/2007,333.21,561.36,23.81,14
3/17/2007,329.26,561.06,23.83,14.39
3/20/2007,337.85,576.5,24.34,14.59
3/21/2007,339.74,577.32,24.31,14.59
3/22/2007,337.74,582.16,24.54,14.96
3/23/2007,343.5,586.89,24.8,15.02
3/24/2007,350.04,579.74,24.61,14.94
3/27/2007,348.94,575.36,24.41,14.67
3/28/2007,349.46,581.73,24.49,14.65
3/29/2007,347.14,581.84,24.61,14.52
3/30/2007,347.02,586.76,24.39,14.39
3/31/2007,343.09,591.8,24.48,14.23
4/3/2007,339.73,587.68,24.55,14.14
4/4/2007,337.44,569.09,24.77,14.31
4/5/2007,336.59,574.18,25.12,14.66
4/6/2007,336.63,580,25.17,14.72
4/7/2007,333.63,578.16,25.05,14.45
4/10/2007,329.39,577.37,24.96,14.48
4/11/2007,330.98,570.61,24.63,14.58
4/12/2007,334.69,576.28,24.62,15.3
4/13/2007,331,578.51,24.42,14.83
4/14/2007,326.06,530.7,24.37,14.8
4/17/2007,330.43,526.84,24.1,14.59
4/18/2007,336.42,521.53,24.16,14.76
4/19/2007,340.95,525.73,24.75,15.06
4/20/2007,349.2,525.1,24.52,15.15
4/24/2007,351.5,525.05,24.61,15.26
4/25/2007,348.92,532.82,25.16,15.62
4/26/2007,348.65,537.76,25.34,15.54
4/27/2007,345.27,537.97,25.66,15.7
4/28/2007,348.63,544.1,24.9,15.35
5/1/2007,344.8,538.56,24.65,15.32
5/2/2007,346.71,533.89,24.8,15.67
5/3/2007,348.08,535.79,25.04,15.71
5/4/2007,345.27,534.27,24.78,15.75
5/5/2007,345.18,535.3,24.85,15.88
5/8/2007,346.11,537.68,24.82,16.06
5/9/2007,347.96,542.66,24.66,16.28
5/10/2007,345.75,535.45,24.36,16.6
5/11/2007,345.09,535.05,24.33,16.53
5/12/2007,339.04,529.55,24.05,16.24
5/15/2007,331.88,518.42,23.61,15.87
5/16/2007,334.7,530.46,23.71,15.77
5/17/2007,338.42,529.81,23.88,16.62
5/18/2007,339.07,531.25,23.91,16.21
5/19/2007,333.79,524.03,23.68,15.88
5/22/2007,332.97,518.39,23.37,15.37
5/23/2007,330.77,518.26,23.35,15.33
5/24/2007,335.34,519.67,23.39,15.39
5/25/2007,333.57,518.13,23.86,15.67
5/26/2007,335.97,520.9,23.94,15.66
5/30/2007,346.34,529.02,24.19,15.95
5/31/2007,344.03,525.6,23.63,15.48
6/1/2007,344.62,528.06,23.42,15.64
6/2/2007,341.97,523.08,23.12,15.47
6/5/2007,336.59,521.06,23.22,15.78
6/6/2007,330.62,519.03,23.27,15.77
6/7/2007,330.82,519.17,23.15,15.52
6/8/2007,330.07,516.73,23.17,15.54
6/9/2007,324.51,509.51,22.93,15.35
6/12/2007,325.2,504.73,23.25,15.65
6/13/2007,331.02,508.37,23.42,15.99
6/14/2007,325.35,502.95,22.96,15.86
6/15/2007,323.77,500.37,23.21,15.87
6/16/2007,318.89,485.02,23.46,15.89
6/19/2007,313.97,484.58,23.66,16.06
6/20/2007,323.91,493,23.94,16.2
6/21/2007,321.23,487.01,23.84,16.08
6/22/2007,329.81,480.22,23.82,16.14
6/23/2007,324.95,474.88,23.5,15.8
6/26/2007,330.62,482.8,24.37,15.81
6/27/2007,333.83,493.65,24.95,15.88
6/28/2007,332.61,497.57,24.78,16.29
6/29/2007,334.23,506.38,25.14,16.54
6/30/2007,341.79,521.03,25.16,16.84
7/4/2007,347.94,532.44,25.17,16.84
7/5/2007,350.26,535.36,25.46,16.77
7/6/2007,355.67,546.6,25.89,17.01
7/7/2007,358.17,531.99,26.03,17
7/10/2007,352.49,527.28,25.75,16.52
7/11/2007,352.24,534.01,25.67,16.42
7/12/2007,356.49,538.26,25.75,16.4
7/13/2007,356.24,528.94,25.6,16.56
7/14/2007,363.36,597.62,25.9,16.83
7/17/2007,372.2,594.94,25.71,16.66
7/18/2007,375.24,602.55,26.63,17.28
7/19/2007,385.25,595.35,26.17,17.38
7/20/2007,385.63,606.99,26.21,16.97
7/21/2007,391.62,618.23,26.62,16.9
7/24/2007,396.8,618.98,26.99,16.99
7/25/2007,401.69,622.52,27.15,16.98
7/26/2007,390.91,607.22,26.43,16.32
7/27/2007,390.14,610.94,26.81,16.43
7/28/2007,388.81,603.69,26.5,16.11
7/31/2007,395.05,606.77,26.37,16.11
8/1/2007,387.25,592.4,25.92,15.65
8/2/2007,390.89,601.17,26.03,15.76
8/3/2007,375.76,577.52,25.09,14.88
8/4/2007,372.02,579.04,24.83,14.94
8/7/2007,351.7,546.02,23.67,13.84
8/8/2007,372.41,573.41,24.74,14.3
8/9/2007,362.14,549.01,23.4,13.54
8/10/2007,372.1,562.13,24.36,14.6
8/11/2007,375.38,563.77,24.27,14.75
8/14/2007,381.77,557.23,24.67,15.38
8/15/2007,378.85,539,24.67,15.67
8/16/2007,378.81,533.15,24.57,14.09
8/17/2007,364.49,504.88,24.01,13.65
8/18/2007,354.51,490.92,23.4,13.89
8/21/2007,354.92,498.17,23.34,13.91
8/22/2007,372,518.82,24.06,14.56
8/23/2007,374.57,523.29,24.23,14.56
8/24/2007,372.12,520.04,23.91,14.1
8/25/2007,381.94,526.86,24.57,14.57
8/28/2007,388.3,539.08,25.15,14.85
8/29/2007,388.32,540.7,25.53,14.74
8/30/2007,383.18,540.96,25.89,14.75
8/31/2007,379.4,532.5,25.51,14.58
9/1/2007,372.45,524.84,25.11,14.13
9/5/2007,378.12,522.18,24.83,14.14
9/6/2007,382.29,534.03,25.3,14.43
9/7/2007,382.5,534.96,25.52,14.23
9/8/2007,375.87,524.85,25.05,13.86
9/11/2007,378.32,530.12,25.2,14.08
9/12/2007,382.98,529.52,25.34,14.27
9/13/2007,387.64,532.07,25.79,14.74
9/14/2007,391.28,542.56,26.27,15.19
9/15/2007,398.79,546.68,26.39,15.08
9/18/2007,409.87,546.67,26.48,14.75
9/19/2007,411.68,546.63,26.26,14.76
9/20/2007,410.38,539.2,25.29,14.57
9/21/2007,400.1,520.66,24.39,13.89
9/22/2007,402.57,525.51,24.39,14.28
9/25/2007,401.45,531.89,24.76,14.63
9/26/2007,397.55,539.34,24.98,15.05
9/27/2007,395.31,528.84,24.89,14.78
9/28/2007,388.9,527.5,24.77,14.75
9/29/2007,379.69,515.04,24.22,14.03
10/2/2007,373,495.52,23.87,13.8
10/3/2007,370.91,501.9,24.66,14.41
10/4/2007,376.63,504.7,25.2,15.26
10/5/2007,375.76,514.71,25.63,15.43
10/6/2007,368.22,515.12,25.55,15.16
10/9/2007,387.15,537.17,26.22,15.97
10/10/2007,398.58,543.18,26.28,16.05
10/11/2007,400.47,548.5,26.24,16.11
10/12/2007,406.68,558.99,26.45,16.23
10/13/2007,420.2,591.68,26.54,16.49
10/16/2007,418.19,582.41,26.26,15.84
10/17/2007,420.43,590.51,26.58,16.24
10/18/2007,396.92,580.7,26.4,15.77
10/19/2007,393.62,583.67,26.31,14.93
10/20/2007,391.19,590.49,26.43,15.12
10/23/2007,404.04,596.42,26.46,15.57
10/24/2007,396.07,583.16,26.09,15.49
10/25/2007,398.89,586.31,25.88,15.78
10/26/2007,402.96,598.67,26.52,16.19
10/27/2007,403.22,600.14,26.26,16.18
10/30/2007,403.05,592.64,25.92,15.68
10/31/2007,394.81,578.65,25.29,15.01
11/1/2007,395.71,584.82,25.31,15.33
11/2/2007,401.35,597.5,25.82,15.54
11/3/2007,398.53,596.14,25.55,15.24
11/6/2007,398.02,608.33,26.08,15.43
11/7/2007,404.49,612.34,26.43,15.47
11/8/2007,393.59,600.95,25.5,14.68
11/9/2007,383.57,595.08,25.57,14.84
11/10/2007,382.98,608.35,26.19,15.23
11/13/2007,377.64,613,26.04,15.2
11/14/2007,387.17,616.56,26.22,15.51
11/15/2007,383.13,611.47,25.56,15.01
11/16/2007,375.8,600.87,25.04,14.8
11/17/2007,373.34,594.88,24.81,14.78
11/20/2007,367.43,580.94,24.51,14.75
11/21/2007,374.9,580,24.31,14.71
11/22/2007,365.42,570.11,23.99,14.19
11/24/2007,362.02,563,23.83,14.11
11/27/2007,374.51,588.19,24.38,14.86
11/28/2007,371.6,582.93,24.36,14.82
11/29/2007,380.57,599.39,25.08,15.63
11/30/2007,386.27,613.77,24.79,15.67
12/1/2007,388.03,620.36,24.73,15.57
12/4/2007,391.33,625.65,25.2,15.8
12/5/2007,389.28,623.77,25.16,15.73
12/6/2007,387.43,623.39,25.1,15.77
12/7/2007,388.99,616.05,24.9,15.38
12/8/2007,391.94,627.42,25.2,15.66
12/11/2007,390.16,625.39,25.01,15.3
12/12/2007,387.15,625.63,25.26,15.07
12/13/2007,378.56,618.07,25.09,14.93
12/14/2007,377.32,619.54,25.06,14.93
12/15/2007,379.39,625.96,25.49,14.91
12/18/2007,380.58,621.83,25.03,14.56
12/19/2007,394.26,630.37,25.52,15.03
12/20/2007,394.76,625.82,25.26,14.58
12/21/2007,396.85,629.7,25.31,14.65
12/22/2007,401.61,633.14,25.52,14.78
12/26/2007,404.79,640.25,25.53,14.74
12/27/2007,400.92,639.7,25.32,14.56
12/28/2007,403.39,642.4,25.51,14.64
12/29/2007,403.27,645.9,25.45,14.51
