,AAPL,GOOG,MSFT,DELL
Start Value,328.16,604.35,26.72,13.58
End Value,403.27,645.9,25.45,14.51
Percent Return,1.2288822525597267,1.0687515512534127,0.9524700598802396,1.0684830633284241
Dollar Return,1228.8822525597268,1068.7515512534128,952.4700598802395,1068.4830633284241
,AAPL,GOOG,MSFT,DELL
Start Value,328.16,604.35,26.72,13.58
End Value,403.27,645.9,25.45,14.51
Percent Return,1.22888225256,1.06875155125,0.95247005988,1.06848306333
Dollar Return,1228.88225256,1068.75155125,952.47005988,1068.48306333
